threshold,bin,lo,hi,n,n_flagged,rate
f1_max,Q1 subtle,0.0959,0.452,396,101,0.2551
f1_max,Q2,0.452,0.5991,396,142,0.3586
f1_max,Q3,0.5991,0.7407,396,199,0.5025
f1_max,Q4 blatant,0.7407,0.9745,397,304,0.7657
fpr_1pct,Q1 subtle,0.0959,0.452,396,3,0.0076
fpr_1pct,Q2,0.452,0.5991,396,19,0.048
fpr_1pct,Q3,0.5991,0.7407,396,46,0.1162
fpr_1pct,Q4 blatant,0.7407,0.9745,397,144,0.3627
